,title,rating,isEdited,content,userName,date,developerBody,developerID,developerModified
241,Too hard to figure out,1,False,too hard to figure out. it says i have a statement to view and when i click on that button that says view statement all i see is articles to read. this app is not user friendly,MomofA19,2018-11-12 21:53:49,nan,nan,nan
242,David Tonne,5,False,david tonne. extremely user friendly and informative👍👍👍,David L T,2018-11-04 03:00:16,nan,nan,nan
243,On-line services,5,False,on-line services. much appreciated. well done.,Samsr,2018-10-18 02:12:48,nan,nan,nan
244,?,3,False,? i no longer see my ekg and mri results. i would like the option of printing all my results.,Facts Not Commentary,2021-04-13 16:03:32,nan,nan,nan
245,Best Medical App I’ve seen,5,False,best medical app i’ve seen. app is first class just like with everything else at mayo clinic!  just amazing.,RBich,2019-05-17 16:44:57,nan,nan,nan
246,thanks,5,False,"thanks. this is one of the best hospitals that i have dealt with in my life. they are trusted in the management of patient affairs, health care, operations, doctors, doctors,",salem114477,2019-04-10 04:42:51,nan,nan,nan
247,"Sadly, a super disappointment.",1,False,"sadly, a super disappointment. i can access the app approximately 10% of the time.  i have deleted and reloaded this app more times than i can count. sometimes it will allow me access, but not often. a huge disappointment.",KGsdaughter,2018-11-28 15:17:36,nan,nan,nan
248,Impressive!,5,False,"impressive! outshine any other med portal i've ever used.  of corse, mayo's staff makes it even more personal.",AZBandman,2017-07-28 13:41:21,nan,nan,nan
249,Authentication,2,False,"authentication. the app was helpful, but they haven’t been able to figure out the authentication.  makes the app worthless.",Bryyyyyyce,2022-05-02 19:57:32,nan,nan,nan
250,Jk,1,False,jk. about once a month i have to resubmit info to access mobile account. absolutely worthless when notifications are on that app.,Kilzkitzmann,2022-04-04 18:01:02,nan,nan,nan
251,Doesn’t work,1,False,"doesn’t work. i created an account but i have never been able to log on. i keep getting an error message to try again later, for several days now.",tnt4560,2019-01-15 11:14:17,nan,nan,nan
252,Problem,2,False,problem. i tried to send a message to the “app feedback” and got the message “we’re sorry; there was an issue sending your message”,Hadley Thompson,2018-05-17 15:43:36,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3544643.0,2018-05-21T19:02:15Z
253,New updated app,1,False,"new updated app. this app is awful!!! you can’t even see your billing without going in and out 20 times to see all billing.  dr notes are bad not as easy to read as before. old app is 1,000 percent better please go back to it",Bbmiles,2018-04-27 10:46:06,nan,nan,nan
254,Mayo Clinic App,3,False,mayo clinic app. this app was really great until they started updating. they keep asking to fill out questionnaires and the app i have doesn't this area.,Tickytocky,2017-07-26 08:44:30,nan,nan,nan
255,When it works,2,False,"when it works. when it actually works it’s great, but mfa is very glitchy for the user and i cannot access what i need.",RisingPhoenexLife,2022-05-12 14:08:10,nan,nan,nan
256,Log in,2,False,log in. it makes me log in sometimes and when i try it says “ i can’t log in at this time.,Jesus1935,2022-03-09 20:25:52,nan,nan,nan
257,Awful,1,False,"awful. possibly the worst, most dysfunctional, user unfriendly, slow, unreliable app i’ve ever had the frustration of being forced to use. why can’t i sign in online an avoid using this completely awful app?",ghfscvn,2018-07-28 08:11:51,nan,nan,nan
258,Terrible update!,1,False,"terrible update! absolutely terrible update!  it’s much more difficult to get the information i want and now there is all sorts of useless junk to wade through. you took a good, efficient app and made it for 12 year olds!!",FuseduleTecil,2018-05-09 04:37:50,nan,nan,nan
259,User ID and password,1,False,"user id and password. i am getting really fed up that it says my user name and password don’t match. i have not changed them! to get help is total impossible, uninstalling",undfriendly app,2021-03-15 21:55:41,nan,nan,nan
260,Improving.,4,False,improving. previously written in email.,tropicdiver,2018-08-14 02:03:25,nan,nan,nan
261,Worked great until latest updates,1,False,worked great until latest updates. i loved this app until recently. now it rarely works. the latest updates have made it basically useless .,5senough,2019-12-14 14:45:29,nan,nan,nan
262,App is terrible,1,False,app is terrible. i can’t hardly do anything in this app…what is the purpose? it takes me in and out toggling between the website and app. so frustrating,palsirny,2022-02-09 18:13:24,nan,nan,nan
263,Update deleted most of it’s features,1,False,update deleted most of it’s features. cannot respond to doctor’s emails directly (previous versions you could).  all my historical lab work is not available (only the most recent).,iteski,2018-08-24 02:01:57,nan,nan,nan
264,No reminders,1,True,"no reminders. to me this app is no pretty much useless if it doesn’t give me appt reminders.  i can look up my medical history any time on a computer, don’t need an app for it.  i did appreciate the old app appt reminders however if i forgot an appt.",amykrebs,2018-07-23 11:48:04,Amykrebs - we’re sorry.  We know how frustrating it is when something doesn’t work well.  One thing you could try that might help would be to delete the app and re-install.  Make sure to say yes when the app prompts you for notifications and for getting appointment reminders.  Also - if you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.,3931012.0,2018-07-23T11:48:04Z
265,Billing,5,False,billing. it needs some work!,Jpbjr1245,2018-10-18 19:17:08,nan,nan,nan
266,Change bk to previous opening screen,1,False,change bk to previous opening screen. i only have this app to view my patient info.  i don’t want to have to sort through an opening screen of “health magazine” articles.,MSKS09,2018-04-25 12:02:42,nan,nan,nan
267,Needs Moore Development,2,False,needs moore development. very slow doesn’t show information such as billing and documents. much better prior to recent update,Sam Smigh,2018-10-07 03:26:02,nan,nan,nan
268,Nondescript app,1,False,"nondescript app. the whole updated design of this app is just blah and confusing, especially the appt schedule. the list view was very legible and easy to follow. having to swipe to the left to see the next appt is ridiculous.",Yeodawn,2019-12-31 01:35:08,nan,nan,nan
269,Terrible app,1,False,terrible app. if the app could work on occasion it would be very helpful. i have not been able to sign in in months. not helpful when it’s about the only way to communicate with drs,Shanny the Nanny,2019-11-05 23:02:00,nan,nan,nan
270,CinXwb,3,False,cinxwb. sometime app works. most times it doesn’t work. can’t access anything most times.,CinXwb,2019-09-11 21:19:14,nan,nan,nan
271,V4.4 Bugs IOS 12.0,2,False,"v4.4 bugs ios 12.0. unable to create new email messages. email body, subject line, contact list, keyboard, cursor prompt are gone. previous  version was 5 star.",Frustrated 4.4,2018-10-15 20:38:09,nan,nan,nan
272,GREAT APP,5,False,great app. does everything i need and more helpful tips too.,MacPro2006,2017-09-10 17:42:46,nan,nan,nan
273,App,1,False,app. app keeps crashing for the last 2 weeks. this is the only thing that makes the process bad.,"010101010101""""10101""1""112@",2022-04-07 12:52:49,nan,nan,nan
274,Notes & documents,1,False,notes & documents. notes & documents have not worked for months &  no response from anyone,denise dulian,2021-05-19 04:38:02,nan,nan,nan
275,It’s a mess,1,False,it’s a mess. this app is a dumpster fire just go to the actual website. nothing works right or is where you think it would be located,Old_Jerk,2021-03-18 20:20:16,nan,nan,nan
276,APP,5,False,app. our family loves mayo and the app makes life much easier.   maybe a larger font and in bold for mayo patients id number.   i wish every hospital in the world would duplicate mayo in every way. this is how health care should be.   rick and gloria plaisted,Glo and Rick,2019-09-11 21:12:49,nan,nan,nan
277,MAYO APP,2,False,mayo app. very hard to navigate and find documents or information that you try and hide. can’t print information ( i.e. covid immunization record ),Mayo0327,2021-03-23 00:42:23,nan,nan,nan
278,Not user friendly,1,False,"not user friendly. unable to access what is needed to learn about upcoming surgery, extremely frustrating",Lion master 917366291,2022-03-10 15:47:35,nan,nan,nan
279,What year is Mayo IT dept. in huh?!?!?!,1,False,what year is mayo it dept. in huh?!?!?! mayo gets 1star because you my hc provider. not because of app i say 0 stars why? because i/we here patients in lx/ona still unable to use app to schedule appts. what’s the delay with this anyway?!?!,bak711,2022-02-16 18:28:04,nan,nan,nan
280,No longer displays RADIOLOGY RESULTS,3,False,"no longer displays radiology results. the radiology reports show what was ordered and the date of service but x-rays, mris—etc., radiologist’s report, are no longer visible.",Dognilla,2020-04-29 19:58:12,nan,nan,nan
281,I’m a retired MC Physician. I worked 27 years and retired January 2011,2,False,i’m a retired mc physician. i worked 27 years and retired january 2011. needs to be more user friendly for us old folks. i’m 71 y/o. i’d be happy to sit in the usability laboratory and give feedback like i did when i was on staff!,Cobport,2018-08-22 20:45:08,nan,nan,nan
282,Horrible with many bugs,1,False,horrible with many bugs. have to change my password almost every sign in… and i’m using fingerprint. horrible app. free is free… shame on them.,varble,2022-04-19 16:03:46,nan,nan,nan
283,Still broken,1,False,still broken. the 8.7 update made it impossible to log in. the 8.8 update did not fix the issue,TyroUser,2022-04-17 02:06:02,nan,nan,nan
284,This is an awful website!,1,False,this is an awful website! this is an awful website,pokeyj2404,2021-08-26 18:54:11,nan,nan,nan
285,Message return,1,False,message return. poor it should notify you that you have a message. you have to keep going in to check your messages.,suecurt,2018-09-07 13:33:48,nan,nan,nan
286,Horrible,1,False,horrible. i am unable to open any medical records since update.  i am unable to send an email to request assistance with app so i can access my medical records.,MareRN,2021-11-30 20:22:53,nan,nan,nan
287,Very Good,5,False,very good. easy to navigate!,Crnkovich,2021-02-01 12:55:27,nan,nan,nan
288,Cannot connect to health app,2,False,cannot connect to health app. cannot connect to apples health app anymore.  if there is a fix let me know this was a useful feature,mamelt3,2020-01-04 05:48:54,nan,nan,nan
289,Frustrated patient,2,False,frustrated patient. the new format is not an improvement. not user friendly at all,househunter@65,2019-12-24 03:54:41,nan,nan,nan
290,No access to my medical records.,1,False,no access to my medical records. this app is bogus. needs to have a feature where you can sign in with your email. login credentials are way to strict for old people that need this app,adam feinglass,2019-02-13 19:59:56,nan,nan,nan
291,Patient Bill HIeb,5,False,patient bill hieb. thank you,makazinga,2021-03-15 11:39:26,nan,nan,nan
292,Mayo app,1,False,mayo app. bring back the old format.  too much “nonessential “ things to go through.  do not like.  like the “summary of lab data” like it was.  making it too difficult to find and follow.,49creativenana,2018-04-17 13:55:13,nan,nan,nan
293,Worst app,1,False,worst app. created an account and i’m not aloud to sign into it went only line told me to contact the clinic like why have an app or a recover account if it doesnt work,absolute bs bs bs,2020-06-26 10:22:56,nan,nan,nan
294,Web changes,1,False,web changes. too difficult and can’t get into for an important posting. not user friendly piece of trash.,Colonel O-6,2018-04-23 03:07:55,nan,nan,nan
295,Latest Version 6.2 is rubbish,1,False,latest version 6.2 is rubbish. thanks to the latest update you no longer have access to medical images...    very disappointing!!!,FutureRide,2020-01-07 04:09:50,nan,nan,nan
296,Previous update was easier,1,False,previous update was easier. new menu at the bottom of the mayo app is too small and too light of color for most patients eyes with medical conditions.,FloridaIrish82,2018-04-16 22:18:22,nan,nan,nan
297,Please fix it,1,False,please fix it. once you log on and enable touch id or biometric. the next time you start the app the spinner just keeps spinning saying it’s authenticating. you basically have to reinstall.,K9iphone,2018-01-05 18:02:09,nan,nan,nan
298,Too Much Trouble,1,False,too much trouble. put app on phone. received email to verify set up. never got any farther than that. constant error messages. not worth it. already deleted app from phone.,54Powder,2017-08-03 13:47:59,nan,nan,nan
299,No access due to your update!,1,False,no access due to your update! access denied without warning and no way to re register🤮,bigdpdc,2020-09-30 14:16:07,nan,nan,nan
300,Mayo app,4,False,"mayo app. good app , touch id doesn’t always present itself at signin.",SSMarizona,2018-11-01 13:17:38,nan,nan,nan
301,Very helpful app.,5,False,very helpful app. this is a very useful a helpful application.,Hunter_q8,2018-05-14 16:33:15,nan,nan,nan
302,New update not working well,2,False,new update not working well. cannot retrieve any radiology results since the latest update resulting in a lapse in my care. not acceptable!!!,Hot please,2020-01-01 16:24:29,nan,nan,nan
303,Hard to Navigate,2,False,hard to navigate. hard to navigate and schedule appointments.,EastMallory,2018-10-11 11:43:57,nan,nan,nan
304,Scam,1,False,"scam. they are using you for your money , they won’t let you cancel a subscription and customer service is poor",azecygjjtdw235,2019-01-08 22:49:35,nan,nan,nan
305,Novice user Here!,4,False,novice user here! thank you for this application. it takes awhile for a novice like me but well appreciated!,DAnneS19,2019-02-21 15:54:12,nan,nan,nan
306,Update password,3,False,update password. i am patricia v kisley and i’d like to update  my account & passwords since i don’t remember the last one.,pkisley,2018-10-24 17:12:57,nan,nan,nan
307,Setting up...,1,False,setting up... won’t even let me get as far as setting up an account due to my email? slightly disappointed.,Dasjavu,2018-06-15 01:13:42,"Dasjavu, we’re sorry the account creation isn’t working well for you.  If you send us an email with a short description of this issue we can try to troubleshoot this issue and help you get it fixed.  It might help us improve the app for other users that are also having similar issues.  Our email is mcmobileapps@mayo.edu.  Thanks so much.",3915629.0,2018-06-20T20:15:27Z
308,Mayo app,1,False,"mayo app. i’m told i have a questionnaire to complete.  go to : patient on line services where is this found??  i can’t find it and there’s no place to go for questions, guess i’ll complain here.",Pretty Grandma,2018-04-29 13:21:02,Sorry you're having trouble finding questionnaires.  Once you sign into the app Questionnaires can be found in the Patient section of the app - scroll down to find Questionnaires.,3423701.0,2018-05-10T15:38:57Z
309,Just average,3,False,just average. should be better.,wrongwy,2019-10-21 06:50:07,nan,nan,nan
310,No help,1,False,"no help. this app is the worst app i have used! constant change, phone assistant not helpful. i never write poor reviews but the mayo app is the worst!",kimberlyadestin,2022-04-25 16:38:15,nan,nan,nan
311,Boy Mimi 4,5,False,boy mimi 4. awesome app easy to set up and navigate,Boy Mimi 4,2019-10-16 22:32:40,nan,nan,nan
312,Worthless,1,False,worthless. no data . no functionality,Grandma Ginger246,2018-05-16 11:27:05,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3544655.0,2018-05-21T19:04:51Z
313,Superb app.,5,False,superb app. best medical record app i have used.  no surprise.  the mayo  clinic is a superb medical facility.,Tdhdle,2017-07-22 00:31:36,nan,nan,nan
314,Worthless,1,False,worthless. never seen such a useless app i my life. only rated a 1 because they won’t let me rate it a 0,stupid MHC,2021-12-28 15:25:49,nan,nan,nan
315,You went from 5 to 1,1,False,you went from 5 to 1. all of my images from tests are gone.  thanks for nothing.,Save Timeless,2020-12-21 18:28:31,nan,nan,nan
316,Bad Update,1,False,"bad update. after updating yesterday, neither my husband nor i can sign in.  never had a problem before!!",Irishwfhnd,2019-07-17 16:34:20,nan,nan,nan
317,Insurance,1,False,insurance. asked to update insurance and there is no place to do it on app.  should be able to take photo and upload to record,no ins,2018-10-28 20:06:30,nan,nan,nan
318,Maybe it’s me,1,False,maybe it’s me. i am not a patient but my minor aged daughter is. how do i link to her info?? the app provides no help and at this point seems to be be totally useless to me.,birdietune,2019-01-07 04:27:05,nan,nan,nan
319,Failure,1,False,failure. this app seems like it is always authenticating. it used to work a lot better not sure what they did but it’s horrible app,Brenner341,2017-11-02 14:20:38,nan,nan,nan
320,Need disease/treatment library,3,False,"need disease/treatment library. having a patient library for disease, tests, and treatments would be helpful.",Better-Now,2017-10-08 22:58:27,nan,nan,nan
321,Mr Ted,3,False,mr ted. i would give this an app 5 stars if there was a print app for medications,Tybee Time,2021-06-24 17:59:56,nan,nan,nan
322,Use website instead,1,False,use website instead. terrible does not do what the website can.,mwinb,2020-03-11 00:35:29,nan,nan,nan
323,Highly difficult to use,1,False,highly difficult to use. this app is hard to understand and use....,chris guthrie,2018-07-15 22:02:13,chris guthrie - we’re sorry that you were disappointed! The updated Mayo Clinic app includes content for everyone.  Patients have access to all of the patient features you’ve become used to. If you’d like to send us a note with your username and let us know what exactly you find hard to understand we can look into things further.  Our email is mcmobileapps@mayo.edu.  Thank you.,4258714.0,2018-07-16T17:27:12Z
324,Beyond Impressed!,5,False,beyond impressed! absolutely 100% the perfect model for how the medical field should operate....wow!!!!,I am Al,2020-06-30 08:50:15,nan,nan,nan
325,I can’t get into my patient portal! It is now worthless .,1,False,i can’t get into my patient portal! it is now worthless . the changes have rendered the patient portal worthless.,kmbphx,2021-06-25 19:18:53,nan,nan,nan
326,No touch ID,3,False,no touch id. i'm disappointed that this app does not have touch id.,slam32384,2019-10-08 20:40:51,nan,nan,nan
327,Never,1,False,never. you’ll never get an appointment. i keep getting worse and no help.,akb123!,2021-06-19 00:04:51,nan,nan,nan
328,Crap ap.,1,False,crap ap. beyond frustrating right from email on.,bcsop,2021-02-27 01:41:50,nan,nan,nan
329,Rj,5,False,"rj. great, user friendly app",Lightship1,2018-06-01 14:30:28,Rj - thanks!  🤗  We’re always working on improving the Mayo Clinic apps user friendliness.  If you ever have and issue or a suggestion for improvement - drop us a note.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,3930978.0,2018-06-21T20:03:37Z
330,rating app,5,False,rating app. excellent and easy to use,Ksgsw,2021-12-02 21:49:00,nan,nan,nan
331,Much improved from Jan 2018,5,False,much improved from jan 2018. 👍👍👍👍,Mike655,2019-03-03 05:51:58,nan,nan,nan
332,Zero that's what you have done!!,1,False,zero that's what you have done!! can't even find how to send a message to my doctor on the portal.   and the screen is still vertical -- which means it keeps falling out of the log tech keyboard on the ipad!!!   how do you send messages?????,ROBERT KYLE,2018-06-15 17:05:34,"ROBERT KYLE, sorry for that issue.  We think that issue is isolated iPads that are running iOS version 10.  We’re still working on making the app work well on iOS 10.  One workaround would be to update the iPad to iOS 11 if that is a possibility for you.  If you’d like to reach us directly - feel free to email us.  Our email is mcmobileapps@mayo.edu.  Thank you.",3915606.0,2018-06-20T20:11:24Z
333,Rate the app,1,False,"rate the app. liked old app better! easier to get to test results, etc.",DeeDeeMaynard,2020-12-14 18:25:12,nan,nan,nan
334,Not easy to do.,1,False,not easy to do. unable to maneuver through.,luey1,2022-04-20 20:06:29,nan,nan,nan
335,Latest update broke it: can’t log in via app but can via website,1,False,latest update broke it: can’t log in via app but can via website. the title says it all.,CrashyAppy,2020-02-25 04:54:16,nan,nan,nan
336,Bad app,1,False,bad app. i’m not able to e-check in i had my appointments changed twice and no phone call.,smnmwilson,2019-11-13 05:52:25,nan,nan,nan
337,Hard reset password  impossible,1,False,hard reset password  impossible. very disappointing,trying to find out,2019-05-27 14:23:53,nan,nan,nan
338,Not happy,2,False,not happy. loved the old app.  the new one isn’t user friendly at all.,love_life!,2018-05-07 13:06:24,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3423744.0,2018-05-10T15:44:48Z
339,App,1,False,"app. don’t like the way you can get around the app. easier to log in,but not much else.",dory miller,2018-04-19 02:13:40,nan,nan,nan
340,New update,3,False,new update. not obvious how to request a video appointment.,Fijfd,2019-07-29 14:39:23,nan,nan,nan
341,Very slow to update with new radiology exams,2,False,very slow to update with new radiology exams. becoming frustrating to depend on.,Itstome,2018-07-28 15:41:46,nan,nan,nan
342,Messages,1,False,messages. keep getting emails i have a new message.  red mark in ap by messages vut no new message.,Izrh,2021-09-22 17:34:48,nan,nan,nan
343,Mayo Jacksonville,5,False,mayo jacksonville. outstanding,Bbrryyccre,2021-10-26 10:09:02,nan,nan,nan
344,James A Wells,5,False,james a wells. works fine with no abnormalities.,jnjwe,2019-06-07 22:12:19,nan,nan,nan
345,Mayo Clinic,1,False,"mayo clinic. i already commented directly to the,  horrible and confusing site for folks that are sick and need to directly communicate with the staff",K9 Boss,2018-04-18 13:01:56,nan,nan,nan
346,Excellent,5,False,excellent. thumbs up,franklinslts,2017-07-22 01:45:43,nan,nan,nan
347,Patient,1,False,patient. i hate this app:   not enough time to work your feedback doesn’t work,Sad in Jacksonville,2018-04-30 14:02:38,Sorry you're having trouble using the app - please feel free to send a direct email to our team at mcmobileapps@mayo.edu and someone will investigate the issues you're experiencing.,3423734.0,2018-05-10T15:43:26Z
348,Worst app ever,1,False,"worst app ever. locks you out, won’t let you change your password",Petrou610!;,2019-07-15 01:07:17,nan,nan,nan
349,Underwhelming,1,False,underwhelming. less functionality,TTB-Bayside,2018-07-16 18:17:13,TTB-Bayside - our most recent release of the Mayo Clinic app was our biggest release ever.  There is a lot of functionality packed into each tab of the app.  We do understand that the redesign is different for people. If you email us with your username and a short description of where you feel like there is less functionality - that will help us improve the app in future releases.  Our email is mcmobileapps@mayo.edu.  Thank you.,4430608.0,2018-07-28T01:50:59Z
350,online payments,1,False,online payments. tried 4x today to pay my bill through this mayo app to no avail. totally bogus.,melbamae,2018-06-25 01:28:31,"melbamae - We do realize how frustrating it is when things don’t behave properly.  The billing feature of the app is a feature that is hosted by the app, but unfortunately not developed and supported by the app team.  I’ve passed your comments and feedback along to the team at Mayo Clinic that supports that billing feature so that in the future they can improve that experience and fix any bugs.  If you’d prefer - please send us an email with your username and a brief description of what’s happening and we can pass that along to the support team to troubleshoot these issues better.  Our email is mcmobileapps@mayo.edu.  Thanks so much.",4061839.0,2018-07-02T18:40:19Z
351,Excellent,5,False,excellent. programmers really did a great job. ya’ll outdone yourselves. 🖖,lane4x4,2018-05-13 03:35:36,nan,nan,nan
352,Tedious,2,False,tedious. was difficult to figure out how to work the app.,CRNAtraveler,2018-06-25 19:41:16,Oh no! Sorry that isn’t working well for you.  If you send us an email with your username and a short description of this issue we can try to troubleshoot this issue and help you get it fixed.  It might help us improve the app for other users that are also having similar issues.  Our email is mcmobileapps@mayo.edu.  Thanks so much.,4061826.0,2018-07-02T18:39:02Z
353,Mayo Clinic,1,False,mayo clinic. not enough information to print from this app,ganny67,2021-05-19 18:10:00,nan,nan,nan
354,Updates have broken the app,1,False,updates have broken the app. an  in april 2022 makes the app unusable,ShadowcatKP,2022-04-07 16:06:06,nan,nan,nan
355,"Patient schedule,",1,False,"patient schedule,. cannot print?",sylamex,2019-09-11 17:34:28,nan,nan,nan
356,Liked the old one better.,1,False,liked the old one better. i liked the old one better.,Holy Roller2,2018-07-17 16:21:30,Holy Roller2 - sorry you’re having trouble with the new changes.  We work on improving the app with every release.  Our 4.0 release was a pretty major change to the user experience so we would understand if that would cause some frustration.  If you email us with your username and a short description of the changes you don’t like - that will help us improve the app in future releases.  Our email is mcmobileapps@mayo.edu.  Thank you.,4430596.0,2018-07-28T01:49:24Z
357,Can’t get it to update,1,False,"can’t get it to update. just spins, won’t update. so i deleted it and tried to add it back. still just spins.",bmj5454,2020-04-27 04:27:43,nan,nan,nan
358,Took away prescription dosage,1,False,took away prescription dosage. the old app would tell me what dosage i needed to take each day. the new one dose not.,derf2255653268,2018-05-12 13:22:54,nan,nan,nan
359,Patient,1,False,"patient. very complex and takes way, way to much time and disorienting!",lpc1717,2018-11-27 06:12:24,nan,nan,nan
360,Mrs. P. Torkelson,3,False,mrs. p. torkelson. diseases/symptoms missing   i’m sure with time i’ll get use to the present app.,15149primary,2018-06-13 20:02:37,"Mrs. P. Torkelson, sorry you didn’t find the disease or condition you were looking for information on.  We’re working on improving our search capabilities within the app for future releases.  If you email us with a short description of what you’re looking for we can improve the search results in the future and if we find what you’re looking for we’ll forward it onto you.  Our email is mcmobileapps@mayo.edu.  Thank you.",3930776.0,2018-06-21T19:25:48Z
361,Unable to log off,1,False,unable to log off. unable to log off,CBD95,2018-06-22 17:39:51,"Sorry about that!  If you’d like to sign out of the app - please go to the Profile tab, select Settings, then select Sign out. Feel free to drop us a note any time with other suggestions or feedback. Our email is mcmobileapps@mayo.edu. Thank you.",4061874.0,2018-07-02T18:43:07Z
362,Teleconference,5,False,teleconference. worked great!,Teleconference,2020-04-07 18:05:02,nan,nan,nan
363,Mayo,1,False,mayo. mayo and their privacy policy is a joke. as far as insurance goes they put everything out there!,"bull $&""!",2019-01-26 07:28:40,nan,nan,nan
364,Mayo Clinic Patient Services,5,False,mayo clinic patient services. excellent,Cowboy hat boots,2019-10-29 14:37:39,nan,nan,nan
365,Empty App,1,False,"empty app. there is no info in my app.  the info from messages, labs and more that are in my portal are not in the app.  frustrating.",GPS Only,2018-09-27 20:28:50,nan,nan,nan
366,Mayo Clinic Rocks!!!,5,False,"mayo clinic rocks!!! mayo is the best hospital, has the best doctors and the best app!!!",billyntara,2019-04-04 19:09:32,nan,nan,nan
367,iOS,2,False,"ios. does not work well with imac, iphone or ipad",Oaken firs,2018-06-19 13:44:32,"Oaken firs, oh no - we’re sorry.  We know how frustrating it is when something doesn’t work well.  We’re still working to make the app as great as possible on iPhone and iPad.  If you email us with your username and a short description of the trouble you’re having we can try and troubleshoot -- hopefully this will help us find a better solution in the future. Our email is mcmobileapps@mayo.edu.  Thanks so much.",3915487.0,2018-06-20T20:00:47Z
368,Mayo Clinic app,2,False,mayo clinic app. this app is down or unavailable more than it is operable.,zyltrazzo,2020-02-18 01:52:08,nan,nan,nan
369,This WAS a good app...,1,False,"this was a good app... now you can't even send them feedback through their feedback link to let them know about all the issues that need to be fixed!!! ugh!!! about the only thing it did correctly tonight was helping me reset my password because i couldn't remember it since i hadn't been on it (the app) in so long!   if they care (& read these reviews), here's the ""feedback"" message that i tried sending to them/you...  i don’t like the fact that every time i viewed past pdf billing statements & had to click “close” to close them out i had to to completely re-select billing, choose the right location, and then choose to view statements all over again! there should be a way to close the pdf without closing out of the entire billing page! i am also going to go out on a limb here and guess that i am not going to be the only one who is disappointed with the fact that i was unable to pay my bill through the app! i tried, several times, and every time i received the same “invalid session” message! it did occur to me that it was possible the app was just “getting ahead of itself”, in a way, and maybe i just needed to click the “choose payment type” button but that didn’t solve the problem. it didn’t matter how quickly, how often, or where on the button i clicked...”invalid session”...every time! like i said, i tried repeatedly/several times! now arizona mayo clinic will have to wait for a check in the mail if i’m unable to process the payment online (but that’s going to have to wait until morning, now,since it’s gotten very late here and i’m tired) since the app doesn’t work!",dd2b4ever2,2018-05-23 05:12:36,"Dd2b4ever2, we’re really sorry things aren’t working for you in the app.  We do care and we do read each and every review and feedback that gets sent.  We do realize how frustrating it is when things don’t behave properly.  The billing feature of the app is a feature that is hosted by the app, but unfortunately not developed and supported by the app team.  I’ve passed your comments and feedback along to the team at Mayo Clinic that supports that billing feature so that in the future they can improve that experience and fix any bugs.  If you’d prefer - please send us an email with your username and a brief description of what’s happening and we can pass that along to the support team to troubleshoot these issues better.  Our email is mcmobileapps@mayo.edu.  Thanks so much.",3931080.0,2018-06-21T20:17:57Z
370,Trash,1,False,trash. not user friendly at all,Miguel Benjamin,2019-02-10 18:20:30,nan,nan,nan
371,Junk,1,False,junk. i can never get logged in to my patient portal,deeremann,2018-09-17 16:44:07,nan,nan,nan
372,Security,1,False,security. security seems weak when there is no obvious sign out.,mnbjgstbl,2018-06-28 02:44:12,"We’re sorry that you were disappointed! Security is very important to us.  All of your data is very secure.  If you’d like to sign out of the app - please go to the Profile tab, select Settings, then select Sign out.  Feel free to drop us a note any time with other suggestions or feedback. Our email is mcmobileapps@mayo.edu.  Thank you.",4061822.0,2018-07-02T18:38:39Z
373,Review,2,False,review. i’m not sure what the point was or is.,Rochester native,2018-07-19 00:42:40,Rochester native - we’re sorry that you were disappointed! The updated Mayo Clinic app includes content for everyone.  Patients have access to all of the patient features you’ve become used to.  But we’ve also included health articles and a search capability to provide a wide range of health information from Mayo Clinic.  Feel free to drop us a note any time with other suggestions or feedback. Our email is mcmobileapps@mayo.edu.  Thank you.,4430587.0,2018-07-28T01:48:39Z
374,Receipt,1,False,receipt. no easy way to print or send a receipt.,lgbiggs,2019-05-07 18:47:51,nan,nan,nan
375,Face recognition,2,False,face recognition. what happened to face recognition whit this app?,Mnhockeyone,2019-06-10 12:37:55,nan,nan,nan
376,No Patient Info,1,False,no patient info. none of my info is there anymore.,Arizona Janet,2018-12-01 14:44:03,nan,nan,nan
377,Undecided,1,False,undecided. difficult to navigate and schedule appointments.,Hihilks,2019-07-30 21:24:28,nan,nan,nan
378,Garbage,1,False,garbage. if i could give negative numbers i would.,BubbaDawg61,2018-11-01 19:57:51,nan,nan,nan
379,Rateing,1,False,rateing. form to hard to fill out!,holmes@9141,2020-10-31 16:41:50,nan,nan,nan
380,Billing,3,False,billing. make live and statement match.,eyell1,2019-11-27 14:46:47,nan,nan,nan
381,Waste of my time.,1,False,waste of my time. does not take me to my test result.,Asthe world turns,2021-12-21 19:49:10,nan,nan,nan
382,OVERKILL with security,2,False,"overkill with security. once logged in, it’s not readily apparent how to log out‼️",YasgursFarm,2019-07-29 18:45:32,nan,nan,nan
383,This app is as poorly designed as the kiosk,1,False,this app is as poorly designed as the kiosk. and should be corrected,louis opinion,2019-08-23 12:32:06,nan,nan,nan
384,testing1,5,False,testing1. testing,iFly180,2021-04-20 14:21:09,nan,nan,nan
